statistics_code;statistics_label;time_code;time_label;time;1_variable_code;1_variable_label;1_variable_attribute_code;1_variable_attribute_label;value;value_unit;value_variable_code;value_variable_label;value_q
73311;Turnover tax statistics (advance returns);JAHR;Year;2002;DINSG;Germany;DG;Germany;-;EUR 1000;STR052;Taxable turnover: intra-Community acquisitions;
73311;Turnover tax statistics (advance returns);JAHR;Year;2002;DINSG;Germany;DG;Germany;439683320;EUR 1000;STR059;Deductible input tax;e
73311;Turnover tax statistics (advance returns);JAHR;Year;2002;DINSG;Germany;DG;Germany;547182743;EUR 1000;STR055;Turnover tax prior to deduction of input tax;e
73311;Turnover tax statistics (advance returns);JAHR;Year;2002;DINSG;Germany;DG;Germany;499254772;EUR 1000;STR056;Turnover tax on supplies and services;e
73311;Turnover tax statistics (advance returns);JAHR;Year;2002;DINSG;Germany;DG;Germany;107953080;EUR 1000;STR060;Turnover tax advance payments;e
73311;Turnover tax statistics (advance returns);JAHR;Year;2002;DINSG;Germany;DG;Germany;2926570;number;STR040;Turnover taxpayers;e
73311;Turnover tax statistics (advance returns);JAHR;Year;2013;DINSG;Germany;DG;Germany;5765567027;EUR 1000;STR042;Taxable turnover: supplies and services;e
73311;Turnover tax statistics (advance returns);JAHR;Year;2013;DINSG;Germany;DG;Germany;6288886678;EUR 1000;STR041;Taxable turnover;e
73311;Turnover tax statistics (advance returns);JAHR;Year;2013;DINSG;Germany;DG;Germany;-;EUR 1000;STR052;Taxable turnover: intra-Community acquisitions;
73311;Turnover tax statistics (advance returns);JAHR;Year;2013;DINSG;Germany;DG;Germany;791246248;EUR 1000;STR059;Deductible input tax;e
73311;Turnover tax statistics (advance returns);JAHR;Year;2013;DINSG;Germany;DG;Germany;938446553;EUR 1000;STR055;Turnover tax prior to deduction of input tax;e
73311;Turnover tax statistics (advance returns);JAHR;Year;2013;DINSG;Germany;DG;Germany;845990116;EUR 1000;STR056;Turnover tax on supplies and services;e
73311;Turnover tax statistics (advance returns);JAHR;Year;2013;DINSG;Germany;DG;Germany;148698088;EUR 1000;STR060;Turnover tax advance payments;e
