statistics_code;statistics_label;time_code;time_label;time;1_variable_code;1_variable_label;1_variable_attribute_code;1_variable_attribute_label;value;value_unit;value_variable_code;value_variable_label;value_q
73321;Turnover tax statistics (assessments);JAHR;Year;2015;DINSG;Germany;DG;Germany;332044461;EUR 1000;STR050;Tax-exempt s. and s. without input tax deduction;e
73321;Turnover tax statistics (assessments);JAHR;Year;2015;DINSG;Germany;DG;Germany;600722877;EUR 1000;STR049;Other tax-ex. s. and s. with input tax deduction;e
73321;Turnover tax statistics (assessments);JAHR;Year;2015;DINSG;Germany;DG;Germany;1570041150;EUR 1000;STR046;Tax-exempt supplies and services;e
73321;Turnover tax statistics (assessments);JAHR;Year;2015;DINSG;Germany;DG;Germany;825108536;EUR 1000;STR059;Deductible input tax;e
73321;Turnover tax statistics (assessments);JAHR;Year;2015;DINSG;Germany;DG;Germany;129309911;EUR 1000;STR058;Tax on turnov., S. 13b of UStG, rep. by the cust.;e
73321;Turnover tax statistics (assessments);JAHR;Year;2015;DINSG;Germany;DG;Germany;275576662;EUR 1000;STR051;Tax. turnover, S. 13b of UStG, rep. by the supp.;e
73321;Turnover tax statistics (assessments);JAHR;Year;2015;DINSG;Germany;DG;Germany;984017176;EUR 1000;STR055;Turnover tax prior to deduction of input tax;e
73321;Turnover tax statistics (assessments);JAHR;Year;2015;DINSG;Germany;DG;Germany;512418733;EUR 1000;STR053;Intra-Community acquisitions, full tax rate;e
73321;Turnover tax statistics (assessments);JAHR;Year;2014;DINSG;Germany;DG;Germany;155592334;EUR 1000;STR061;Remaining turnover tax / surplus;e
73321;Turnover tax statistics (assessments);JAHR;Year;2014;DINSG;Germany;DG;Germany;4309866520;EUR 1000;STR043;Taxable supplies and services;e
73321;Turnover tax statistics (assessments);JAHR;Year;2014;DINSG;Germany;DG;Germany;602498467;EUR 1000;STR048;Tax-ex. s. and s., input tax ded. intra-Com. sup.;e
73321;Turnover tax statistics (assessments);JAHR;Year;2014;DINSG;Germany;DG;Germany;744252297;EUR 1000;STR056;Turnover tax on supplies and services;e
73321;Turnover tax statistics (assessments);JAHR;Year;2014;DINSG;Germany;DG;Germany;97063834;EUR 1000;STR057;Turnover tax on intra-Community acquisitions;e
73321;Turnover tax statistics (assessments);JAHR;Year;2014;DINSG;Germany;DG;Germany;1172455092;EUR 1000;STR047;Tax-exempt s. and s. with input tax deduction;e
73321;Turnover tax statistics (assessments);JAHR;Year;2014;DINSG;Germany;DG;Germany;6446620;number;STR040;Turnover taxpayers;e
73321;Turnover tax statistics (assessments);JAHR;Year;2014;DINSG;Germany;DG;Germany;3692463643;EUR 1000;STR044;Taxable supplies and services, full tax rate;e
73321;Turnover tax statistics (assessments);JAHR;Year;2014;DINSG;Germany;DG;Germany;52125455;EUR 1000;STR054;Intra-Community acquisitions, reduced tax rate;e
